id,price_000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,apt,floor,age_0_10,age_10_20,age_20_more,num_room,num_bath,num_garage,area_m2,ses,pop_dens,pcnt_indu,pcnt_com,pcnt_insti,pcnt_vacant,pcn_green,homicides,house,ses_bin,lnprice,price_hi
502914,42000,0,0,0,1,0,0,1,5,0,1,0,2,2,0,56,3,377.53,9.53,0,4.29,7.94,1.34,52,0,0,10.64542,0
502915,42000,0,0,0,1,0,0,1,5,1,0,0,2,2,1,56,3,378.92,9.54,0,4.31,7.93,1.34,52,0,0,10.64542,0
502916,42000,0,0,0,0,1,0,1,5,0,1,0,2,2,0,56,3,378.92,9.54,0,4.31,7.93,1.34,52,0,0,10.64542,0
502917,42000,0,0,0,0,1,0,1,5,1,0,0,2,2,2,56,3,371.2,9.65,0,4.35,8.03,1.33,52,0,0,10.64542,0
502918,42000,0,0,0,1,0,0,1,5,1,0,0,2,2,1,56,3,378.12,9.71,0,4.43,7.98,1.35,52,0,0,10.64542,0
502924,42000,0,0,0,0,1,0,1,5,0,1,0,3,2,1,58,3,205.07,25.03,0,0,17.14,0.37,56.99,0,0,10.64542,0
502934,42000,0,0,0,0,1,0,1,1,1,0,0,3,2,0,60,3,683.52,2.25,0,2.13,8.97,0.63,234,0,0,10.64542,0
502938,42000,0,0,0,1,0,0,1,3,0,1,0,3,2,1,60,3,463.5,19.02,0,5.69,16.19,1.35,52,0,0,10.64542,0
502945,42000,0,1,0,0,0,0,1,2,0,0,0,3,2,1,61,3,313.73,1.77,0,0.44,25.78,43.73,190.9,0,0,10.64542,0
502957,42000,0,0,0,0,1,0,1,4,0,1,0,3,2,0,64,3,193.62,9.07,0,1.58,7.77,0.79,52,0,0,10.64542,0
502967,42000,0,0,0,1,0,0,1,3,1,0,0,2,3,1,72,3,971.13,5.42,0,8.93,2.71,0.46,52,0,0,10.64542,0
503017,42822,0,0,0,0,1,0,1,2,0,0,0,2,2,1,48,3,215.15,7.5,0,1.87,8.94,0.94,52,0,0,10.66481,0
503022,42880,0,0,0,0,0,1,1,5,1,0,0,1,2,1,42,3,215.15,7.5,0,1.87,8.94,0.94,52,0,0,10.66616,0
503023,42880,0,0,0,0,1,0,1,5,0,0,0,1,2,1,43,3,215.15,7.5,0,1.87,8.94,0.94,52,0,0,10.66616,0
503093,43000,0,0,1,0,0,0,1,6,1,0,0,3,2,0,59,3,437.38,72.64,0,0.59,2.29,0.13,234,0,0,10.66896,0
503094,43000,0,0,0,1,0,0,1,6,1,0,0,3,2,0,59,3,436.88,72.76,0,0.59,2.28,0.13,234,0,0,10.66896,0
503095,43000,1,0,0,0,0,0,1,1,1,0,0,2,2,1,60,3,592.96,37.69,0,1.26,6.56,0.33,234,0,0,10.66896,0
503096,43000,1,0,0,0,0,0,1,1,0,1,0,2,2,1,60,3,592.96,37.69,0,1.26,6.56,0.33,234,0,0,10.66896,0
503105,43000,0,0,0,0,0,1,1,3,0,1,0,3,2,1,63,2,216.59,7.52,0,1.9,8.94,0.94,52,0,0,10.66896,0
503108,43000,0,0,1,0,0,0,1,3,1,0,0,3,2,1,64,3,724.53,2.8,0,2.11,8.15,0.46,234,0,0,10.66896,0
503109,43000,0,0,0,1,0,0,1,4,0,1,0,3,2,1,64,3,726.02,2.44,0,2.12,8.18,0.46,234,0,0,10.66896,0
503110,43000,0,0,0,0,1,0,1,5,1,0,0,3,2,2,64,3,218.87,15.85,0,0,30.92,0,52,0,0,10.66896,0
